ADJACENT BYTE-IDENTICAL TAKE LINES, SAME PLAYER -- all 1011 journals
game	line_a	line_b	colour	age	round	card	gap_s	run_len
7521361	467	468	Grey	III	13	Reserves	4	2
7521364	276	277	Grey	II	8	Breakthrough	2	2
7521364	573	574	Grey	III	15	Reserves	2	2
7521377	576	577	Purple	III	16	Reserves	2	2
7521449	523	524	Green	III	14	Reserves	5	2
7521522	294	295	Purple	III	15	Reserves	1	2
7521544	122	123	Orange	I	5	Breakthrough	2	2
7521577	268	269	Orange	III	16	Reserves	1	2
7521603	246	247	Orange	III	15	Breakthrough	1	2
7521606	503	504	Orange	II	14	Reserves	1	2
7521619	79	80	Grey	I	3	Reserves	1	2
7521660	419	420	Orange	II	13	Reserves	2	2
7521666	721	722	Grey	IV	18	Efficient Upgrade	2	2
7521671	484	485	Orange	II	13	Efficient Upgrade	2	2
7521673	315	316	Purple	III	17	Efficient Upgrade	1	2
7521683	52	53	Purple	I	4	Breakthrough	2	2
7521689	12	13	Orange	I	2	Frugality	2	2
7521721	349	350	Green	III	13	Reserves	1	2
7521740	299	300	Orange	III	17	Reserves	0	2
7521758	390	391	Orange	II	12	Efficient Upgrade	1	2
7521765	40	41	Green	I	2	Rich Land	4	2
7521775	327	328	Purple	IV	19	Reserves	1	2
7521819	84	85	Orange	I	6	Frugality	1	2
7521832	222	223	Orange	II	13	Reserves	2	2
7521835	177	178	Purple	II	10	Breakthrough	1	2
7521851	253	254	Orange	III	14	Reserves	4	2
7521883	191	192	Grey	I	6	Rich Land	2	2
7521884	12	13	Orange	I	2	Rich Land	8	2
7521885	84	85	Orange	I	6	Rich Land	1	2
7521915	282	283	Orange	III	17	Reserves	2	2
7521924	68	69	Purple	I	5	Rich Land	0	2
7521931	209	210	Purple	III	13	Revolutionary Idea	5	2
7521943	281	282	Purple	III	17	Reserves	2	2
7521953	13	14	Orange	I	2	Urban Growth	1	2
7521959	271	272	Purple	III	15	Efficient Upgrade	3	2
7521959	315	316	Purple	III	17	Reserves	2	2
7521967	13	14	Orange	I	2	Frugality	1	2
7521968	111	112	Purple	II	7	Reserves	4	2
7521983	72	73	Purple	I	5	Breakthrough	6	2
7521983	267	268	Orange	III	15	Reserves	2	2
7521985	14	15	Orange	I	2	Frugality	4	2
7521987	10	11	Purple	A	1	Frugality	1	2
7521990	44	45	Orange	I	4	Urban Growth	1	2
7521992	19	20	Purple	I	2	Frugality	2	2
7521995	85	86	Orange	I	6	Frugality	2	2
7521995	118	119	Orange	II	8	Reserves	2	2
7521995	290	291	Purple	III	15	Reserves	8	2
7521996	267	268	Purple	III	15	Reserves	2959	2
7521997	71	72	Purple	I	4	Reserves	131	2
7521997	326	327	Purple	III	13	Reserves	3	2
7521997	432	433	Green	IV	16	Efficient Upgrade	2	2
7521998	340	341	Purple	IV	19	Urban Growth	11	2
7522001	12	13	Orange	I	2	Urban Growth	5	2
7522001	339	340	Purple	III	17	Reserves	2	2
7522005	129	130	Orange	I	7	Urban Growth	1	2
7522022	254	255	Purple	III	13	Efficient Upgrade	2	2
7522023	156	157	Orange	II	10	Breakthrough	13	2
7522024	19	20	Orange	I	2	Frugality	3	2
7522024	230	231	Orange	II	10	Efficient Upgrade	2	2
7522037	92	93	Purple	I	4	Breakthrough	1	2
7522047	7	8	Purple	A	1	Frugality	2	2
7522054	244	245	Purple	III	14	Reserves	4	2
7522055	69	70	Purple	I	5	Rich Land	5	2
7522067	501	502	Orange	III	14	Reserves	5	2
7522099	18	19	Orange	I	2	Frugality	24	2
7522099	411	412	Orange	III	16	Reserves	1	2
7522102	107	108	Orange	I	7	Rich Land	2	2
7522126	138	139	Orange	II	9	Breakthrough	15	2
7522126	194	195	Purple	II	11	Reserves	27	2
7522128	227	228	Purple	III	13	Urban Growth	1	2
7522172	227	228	Orange	III	13	Breakthrough	7	2
7522193	20	21	Purple	I	2	Urban Growth	2	2
7522199	411	412	Purple	III	12	Efficient Upgrade	2	2
7522203	141	142	Orange	II	9	Breakthrough	4	2
7522218	200	201	Purple	II	12	Efficient Upgrade	5	2
7522244	380	381	Green	III	14	Reserves	1	2
7522249	532	533	Green	III	15	Reserves	3	2
7522265	340	341	Purple	IV	17	Reserves	3	2
7522268	163	164	Purple	II	10	Breakthrough	6	2
7522272	182	183	Orange	II	10	Breakthrough	3	2
7522283	182	183	Purple	II	11	Breakthrough	1	2
7522284	309	310	Purple	III	16	Reserves	1	2
7522287	243	244	Purple	III	14	Revolutionary Idea	2	2
7522291	98	99	Purple	I	6	Rich Land	2	2
7522319	403	404	Orange	III	16	Revolutionary Idea	3	2
7522321	32	33	Purple	I	3	Breakthrough	8	2
7522334	252	253	Purple	III	14	Reserves	2	2
7522345	530	531	Purple	III	15	Urban Growth	1	2
7522360	109	110	Purple	I	7	Rich Land	2	2
7522360	341	342	Orange	III	18	Urban Growth	1	2
7522362	223	224	Orange	III	14	Breakthrough	19	2
7522363	80	81	Purple	I	6	Reserves	1	2
7522368	7	8	Purple	A	1	Urban Growth	2	2
7522372	257	258	Purple	III	14	Reserves	2	2
7522382	278	279	Purple	III	15	Reserves	2	2
7522384	327	328	Purple	III	12	Reserves	2	2
7522388	133	134	Purple	II	9	Johannes Sebastian Bach	3	2
7522388	280	281	Orange	III	17	Reserves	2	2
7522392	8	9	Purple	A	1	Frugality	18	2
7522404	285	286	Orange	III	16	Reserves	20	2
7522421	249	250	Orange	III	15	Revolutionary Idea	4	2
