authored_defaults_2026-08-27.txt

Static source read of rust/src/bots/weighted/weights.rs: every WeightKey with its
serialized snake_case name, its authored default from the weight_key_table!
declaration (174 rows), and its sign_intent from the sign_intent match (174 arms,
no wildcard: 111 Free / 38 NonNegative / 25 NonPositive).
Purpose: so any future
zero census can bucket a 0.0 into proven-snap (non-zero default AND gated) vs
ambiguous (default 0.0 AND gated) vs untouched (default 0.0 AND Free) without
re-deriving it. Sort by name. No games, no build.

variant                    name                                    default  sign_intent
ActionBoardCredit          action_board_credit                           1  NonNegative
AggressionBoardCredit      aggression_board_credit                     0.3  NonNegative
AttackCostDoubled          attack_cost_doubled                           0  NonNegative
AttackTargetLead           attack_target_lead                            0  Free
AttackTargetWeakness       attack_target_weakness                        0  Free
AuctionBid                 auction_bid                                -0.4  Free
AuctionCommitted           auction_committed                             2  Free
BestArena                  best_arena                                  0.3  Free
BestFarm                   best_farm                                   0.5  Free
BestLab                    best_lab                                    0.8  Free
BestLibrary                best_library                                0.5  Free
BestMine                   best_mine                                   0.5  Free
BestTemple                 best_temple                                 0.6  Free
BestTheater                best_theater                                0.6  Free
BestUnit                   best_unit                                   0.5  Free
BlueFree                   blue_free                                  0.15  Free
BonusCardCredit            bonus_card_credit                             1  Free
BuildDiscount              build_discount                                0  NonNegative
BuildFreshCredit           build_fresh_credit                            0  NonNegative
CaLeft                     ca_left                                    0.05  Free
CardBoardCredit            card_board_credit                             0  NonNegative
CardBoardLeader            card_board_leader                             0  Free
CardRateCredit             card_rate_credit                              1  Free
CivilActionGap             civil_action_gap                              0  NonPositive
CivilActionSurplus         civil_action_surplus                          0  NonNegative
CivilActions               civil_actions                                 2  NonNegative
Colonies                   colonies                                      2  Free
ColonizeBonus              colonize_bonus                                0  NonNegative
ConsumptionHeadroom        consumption_headroom                       0.25  Free
CorruptionHeadroom         corruption_headroom                        0.25  Free
Culture                    culture                                       1  Free
CultureGap                 culture_gap                                   0  NonPositive
CultureRate                culture_rate                                  5  Free
CultureRateTrailing        culture_rate_trailing                         0  Free
CultureSurplus             culture_surplus                               0  Free
DefenseBonus               defense_bonus                                 0  NonNegative
Discontent                 discontent                                   -3  NonPositive
EndTurnBias                end_turn_bias                                -3  Free
EventBoardCredit           event_board_credit                          0.3  NonNegative
EventScoringMargin         event_scoring_margin                          0  Free
FamineDeficit              famine_deficit                                0  NonPositive
FoodGap                    food_gap                                      0  NonPositive
FoodRate                   food_rate                                   1.2  Free
FoodStock                  food_stock                                  0.2  Free
FoodStockNeeded            food_stock_needed                             0  Free
FoodSurplus                food_surplus                                  0  Free
FreeActionCredit           free_action_credit                            0  NonNegative
FreeWorkerWall             free_worker_wall                              0  NonPositive
FreeWorkers                free_workers                                0.4  Free
FreeWorkersNeeded          free_workers_needed                           0  Free
GovActionCost              gov_action_cost                               0  Free
GovBoardCredit             gov_board_credit                              1  NonNegative
GovLevel                   gov_level                                     2  Free
HandCivil                  hand_civil                                  0.3  Free
HandLimit                  hand_limit                                    0  NonNegative
HandMilPotential           hand_mil_potential                            0  Free
HandMilValue               hand_mil_value                             0.15  NonNegative
HandMilitary               hand_military                               0.3  Free
HandOverCapacity           hand_over_capacity                            0  NonPositive
HandPerishable             hand_perishable                               0  NonPositive
HandPotential              hand_potential                            0.125  Free
HandSwapExtra              hand_swap_extra                               0  Free
HandValue                  hand_value                                 0.45  NonNegative
HandValueLate              hand_value_late                            0.05  NonNegative
HappyMargin                happy_margin                                1.2  Free
HappyMarginAfterNextPop    happy_margin_after_next_pop                   0  NonPositive
HappySurplus               happy_surplus                                 0  Free
HasColony                  has_colony                                    0  Free
HasUnit                    has_unit                                      0  Free
Leader                     leader                                      1.5  Free
LeaderReplacement          leader_replacement                            0  Free
MaLeft                     ma_left                                    0.05  Free
MilitaryActionGap          military_action_gap                           0  NonPositive
MilitaryActionSurplus      military_action_surplus                       0  Free
MilitaryActions            military_actions                            0.7  NonNegative
MyEventThreat              my_event_threat                               0  Free
MySeededPending            my_seeded_pending                             0  Free
NoAggression               no_aggression                                 0  NonPositive
NumTechs                   num_techs                                   0.3  Free
PactBlocksAttack           pact_blocks_attack                          0.5  Free
PactBoardCredit            pact_board_credit                           0.3  NonNegative
PactPartnerLead            pact_partner_lead                             0  Free
Pacts                      pacts                                       0.5  Free
PopCost                    pop_cost                                   -0.4  NonPositive
ProdWorkers                prod_workers                                0.3  Free
RateHorizon                rate_horizon                                  1  Free
ResourceCommitmentTurns    resource_commitment_turns                     0  NonPositive
ResourceDiscount           resource_discount                             1  NonNegative
ResourceGap                resource_gap                                  0  NonPositive
ResourceRate               resource_rate                               1.6  Free
ResourceStock              resource_stock                              0.3  Free
ResourceStockNeeded        resource_stock_needed                         0  Free
ResourceSurplus            resource_surplus                              0  Free
RestrictedResourceCredit   restricted_resource_credit                    1  NonNegative
RivalBuildingWonder        rival_building_wonder                         0  Free
RivalColonies              rival_colonies                                0  Free
RivalCulture               rival_culture                             -0.35  Free
RivalCultureDeficit        rival_culture_deficit                         0  Free
RivalCultureRate           rival_culture_rate                           -1  Free
RivalDesire                rival_desire                                  0  Free
RivalFoodStock             rival_food_stock                              0  Free
RivalFreeCa                rival_free_ca                                 0  Free
RivalFreeWorkers           rival_free_workers                            0  Free
RivalHandCivil             rival_hand_civil                              0  Free
RivalHandPotential         rival_hand_potential                          0  Free
RivalMeanCulture           rival_mean_culture                         -0.1  Free
RivalMilActions            rival_mil_actions                             0  Free
RivalResourceStock         rival_resource_stock                          0  Free
RivalScienceDeficit        rival_science_deficit                         0  Free
RivalScienceRate           rival_science_rate                         -0.6  Free
RivalScienceStock          rival_science_stock                           0  Free
RivalStrength              rival_strength                            -0.15  Free
RivalTakeShare             rival_take_share                            0.5  Free
RivalWonderDeficit         rival_wonder_deficit                          0  Free
RivalWonders               rival_wonders                                 0  Free
RivalYellowBank            rival_yellow_bank                             0  Free
RowBargainForgone          row_bargain_forgone                           0  Free
RowLastCopy                row_last_copy                                 0  Free
RowPlayableCount           row_playable_count                            0  NonNegative
RowUrgency                 row_urgency                                   0  Free
Science                    science                                     0.5  Free
ScienceGap                 science_gap                                   0  NonPositive
ScienceNeedRow             science_need_row                              0  NonPositive
ScienceNeeded              science_needed                                0  Free
ScienceRate                science_rate                                  4  Free
ScienceRateTrailing        science_rate_trailing                         0  Free
ScienceSurplus             science_surplus                               0  Free
SpecialTechs               special_techs                               0.8  Free
Strength                   strength                                   0.35  Free
StrengthDeficit            strength_deficit                           -0.6  NonPositive
StrengthLead               strength_lead                               0.3  Free
StrengthRel                strength_rel                               0.35  Free
StrengthRelEarly           strength_rel_early                         -0.1  Free
StrengthRelLate            strength_rel_late                           0.5  Free
TacticBoardCredit          tactic_board_credit                         0.3  NonNegative
TacticGain                 tactic_gain                                   0  NonNegative
TacticLevel                tactic_level                                0.5  Free
TacticReachCredit          tactic_reach_credit                         0.3  NonNegative
TacticShort                tactic_short                                  0  NonPositive
TacticShortfallCost        tactic_shortfall_cost                       0.1  NonNegative
TakeCostPaid               take_cost_paid                                0  Free
TakeCostShare              take_cost_share                               0  Free
TechBoardCredit            tech_board_credit                             1  NonNegative
TechLevels                 tech_levels                                 1.5  Free
TechLevelsLate             tech_levels_late                            0.6  Free
TechRedundancyDiscount     tech_redundancy_discount                      0  NonNegative
TerritoryCredit            territory_credit                              1  NonNegative
UnitStrengthCredit         unit_strength_credit                          0  NonNegative
UnitTechCredit             unit_tech_credit                              1  NonNegative
UnitWorkers                unit_workers                                0.1  Free
Uprising                   uprising                                    -12  NonPositive
UrbanLimit                 urban_limit                                   0  Free
UrbanWorkers               urban_workers                               0.5  Free
WarBoardCredit             war_board_credit                            0.3  NonNegative
WarImmune                  war_immune                                    0  NonNegative
WonderAgeOverrun           wonder_age_overrun                            0  NonPositive
WonderBoardCredit          wonder_board_credit                           0  NonNegative
WonderInProgress           wonder_in_progress                            0  Free
WonderOneStageShort        wonder_one_stage_short                        0  Free
WonderOverrun              wonder_overrun                                0  NonPositive
WonderPoolRivalClaimed     wonder_pool_rival_claimed                     0  Free
WonderPotential            wonder_potential                              0  NonNegative
WonderProgress             wonder_progress                               1  Free
WonderPromise              wonder_promise                                0  NonNegative
WonderRemaining            wonder_remaining                           -0.3  NonPositive
WonderStagesLeft           wonder_stages_left                            0  NonPositive
WonderStagesPerAction      wonder_stages_per_action                      0  NonNegative
WonderTurnsToFinish        wonder_turns_to_finish                        0  NonPositive
Wonders                    wonders                                       3  NonNegative
WorkerGap                  worker_gap                                    0  NonPositive
WorkerSurplus              worker_surplus                                0  Free
Workers                    workers                                     2.2  Free
WorkersLate                workers_late                                0.8  Free
YellowBank                 yellow_bank                                -0.1  Free

