================================================================================
THROUGH THE AGES -- CANDIDATE-SET SPREAD / EVAL-SHARE (featspread rebuild)
================================================================================
Rebuild of the tool that produced analysis/spread_quantiles_2026-08-24.txt and
analysis/eval_share_2026-08-24.txt -- the original was written in a throwaway
isolated clone and deleted after that run, so those tables were unreproducible.
This binary is landed in the tracked tree (rust/src/bin/featspread.rs) instead.

METHOD: at every real self-play decision (filter_resign'd legal-move count > 1)
reached by WeightedBot::choose under a given player count's champion weights,
every legal move is applied to a scratch clone and eval::candidate_features()
(== eval::linear_features run once per candidate) is read for each, with
`freeze` pinned to that count's champion vector. Per WeightKey, per decision:
  spread(k) = max(candidate values) - min(candidate values)
Accumulated per player count: fire_rate (fraction of decisions with spread>0),
mean_spread (over ALL decisions), mean_spread_when_firing / p95_spread / 
max_spread (over FIRING decisions only, p95 nearest-rank). Per decision also:
  total_spread = max(dot(champ_w, phi)) - min(dot(champ_w, phi))
over the candidate set, p50/p95 reported per player count. Per (key, count):
  eval_share(k) = abs(champ_w(k)) * p95_spread_when_firing(k) / p95_total_spread
using THAT key's OWN player count's p95_total_spread, never a cross-count max.
The move that actually advances each game is chosen separately by
WeightedBot::choose on the same state, not re-derived from these scores.

games_per_count=40 seed=0 champion_dir=/Users/pt/tta-ai/analysis/frozen/clamp_ceiling_2026-08-27

featspread: 2p done (40 games, 9934 decisions, 31.4s)
featspread: 3p done (40 games, 16995 decisions, 94.5s)
featspread: 4p done (40 games, 24861 decisions, 175.7s)
================================================================================
PER-KEY TABLE (all 174 WeightKeys, at 2p/3p/4p)
================================================================================
Columns: key | n (decisions sampled) | fire_rate | mean_spread |
mean_spread_when_firing | p95_spread | max_spread

-- 2p --
key                                 n  fire_rate    mean_spread  mean_spread_when_firing     p95_spread     max_spread
rate_horizon                     9934     0.0000       0.000000                 0.000000       0.000000       0.000000
culture                          9934     0.5236       2.697302                 5.151894      11.000000      49.000000
culture_rate                     9934     0.5788       0.765571                 1.322641       3.508295      11.187662
science                          9934     0.3773       0.867526                 2.299360       7.000000      17.000000
science_rate                     9934     0.4293       0.386704                 0.900708       1.998155       8.575233
food_rate                        9934     0.6063       0.623006                 1.027552       2.005425       7.716637
resource_rate                    9934     0.6449       1.244930                 1.930555       4.047147      10.300960
food_stock                       9934     0.3569       0.827008                 2.317489       4.000000       8.000000
famine_deficit                   9934     0.1422       0.152607                 1.072895       2.000000       3.000000
resource_stock                   9934     0.5644       1.879203                 3.329410       6.000000      12.000000
blue_free                        9934     0.5776       2.280048                 3.947368       7.000000      11.000000
corruption_headroom              9934     0.5391       1.308134                 2.426704       4.000000       4.000000
consumption_headroom             9934     0.2024       0.341454                 1.686723       3.000000       3.000000
pop_cost                         9934     0.0661       0.066539                 1.006088       1.000000       2.000000
yellow_bank                      9934     0.2031       0.245118                 1.206640       2.000000       7.000000
free_workers                     9934     0.6550       0.744212                 1.136161       2.000000       2.000000
free_worker_wall                 9934     0.5659       5.148379                 9.097118      19.000000      32.000000
workers                          9934     0.6303       0.338295                 0.536755       1.434211       2.131579
prod_workers                     9934     0.5251       0.606503                 1.155100       2.000000       2.000000
urban_workers                    9934     0.5262       0.588484                 1.118424       2.000000       2.000000
unit_workers                     9934     0.5997       0.683713                 1.140171       2.000000       4.000000
happy_margin                     9934     0.3848       0.481528                 1.251242       2.000000       5.000000
discontent                       9934     0.0974       0.100866                 1.035124       1.000000       3.000000
uprising                         9934     0.0236       0.318099                13.504274      19.000000      23.000000
civil_actions                    9934     0.0133       0.022046                 1.659091       3.000000       3.000000
military_actions                 9934     0.0344       0.046004                 1.336257       3.000000       3.000000
ca_left                          9934     0.6199       2.148983                 3.466710       5.000000       9.000000
ma_left                          9934     0.6717       1.194786                 1.778660       3.000000       3.000000
take_cost_paid                   9934     0.4756       1.187840                 2.497354       4.000000       6.000000
row_urgency                      9934     0.6520       5.575840                 8.551859      30.751237     105.705503
row_bargain_forgone              9934     0.5909       2.420461                 4.096228       7.953139       9.000000
row_last_copy                    9934     0.6050       2.318815                 3.832797       9.100000      13.000000
rival_desire                     9934     0.0000       0.000000                 0.000000       0.000000       0.000000
rival_take_share                 9934     0.0000       0.000000                 0.000000       0.000000       0.000000
rival_free_ca                    9934     0.0001       0.000101                 1.000000       1.000000       1.000000
rival_hand_civil                 9934     0.0129       0.025367                 1.968750       4.000000       5.000000
rival_wonders                    9934     0.0000       0.000000                 0.000000       0.000000       0.000000
rival_wonder_deficit             9934     0.0085       0.008456                 1.000000       1.000000       1.000000
rival_science_deficit            9934     0.2126       0.217636                 1.023674       1.000000       3.000000
rival_culture_deficit            9934     0.2843       0.343870                 1.209632       2.000000       5.000000
rival_hand_potential             9934     0.1393       0.116273                 0.834577       4.466955      22.187683
rival_science_stock              9934     0.0101       0.029797                 2.960000       6.000000       6.000000
rival_food_stock                 9934     0.0127       0.030401                 2.396825       6.000000       8.000000
rival_resource_stock             9934     0.0135       0.033823                 2.507463       5.000000       9.000000
rival_free_workers               9934     0.0092       0.009362                 1.021978       1.000000       2.000000
rival_yellow_bank                9934     0.0675       0.106503                 1.576751       2.000000       9.000000
rival_colonies                   9934     0.0038       0.003825                 1.000000       1.000000       1.000000
rival_mil_actions                9934     0.0057       0.007449                 1.298246       2.000000       2.000000
rival_building_wonder            9934     0.0007       0.000705                 1.000000       1.000000       1.000000
my_seeded_pending                9934     0.0811       0.127038                 1.565757       3.000000       3.000000
my_event_threat                  9934     0.1116       1.050729                 9.412034      37.256956      43.934720
attack_target_lead               9934     0.0000       0.000000                 0.000000       0.000000       0.000000
attack_target_weakness           9934     0.0764       0.351520                 4.600791      13.000000      20.000000
