# featdisc games=400 players=2 seed=1 weights=/tmp/fs_champ_2p_frozen.json decisions=115457 forced=4983 mean_candidates=12.027 max_candidates=43 successor_states=1388633 elapsed_s=151.9
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
phi	RateHorizon	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	Culture	115457	0.870341	0.046060	3.744598e-1	3.000000e1	4.878175e1	0.007676	1	1.1400	2
phi	CultureRate	115457	0.497068	0.058368	7.450994e-1	1.310999e1	4.587131e0	0.162433	2	1.6533	3
phi	Science	115457	0.889682	0.061313	4.955654e-1	1.800000e1	3.884134e0	0.127587	1	1.1253	2
phi	ScienceRate	115457	0.524100	0.086846	6.897099e-1	1.338148e1	1.532407e0	0.450083	1	1.5932	3
phi	FoodRate	115457	0.468010	0.122955	8.855884e-1	1.038457e1	1.263636e0	0.700825	2	1.7407	3
phi	ResourceRate	115457	0.456664	0.029734	9.757296e-1	1.453840e1	1.743332e0	0.559692	2	1.8044	3
phi	FoodStock	115457	0.795456	0.220056	5.909083e-1	9.000000e0	2.065287e0	0.286114	1	1.2313	2
phi	FamineDeficit	115457	0.909689	0.882926	1.038915e-1	4.000000e0	2.691651e-1	0.385977	1	1.0938	1
phi	ResourceStock	115457	0.742831	0.214530	8.036628e-1	1.700000e1	4.342869e0	0.185053	1	1.4127	2
phi	BlueFree	115457	0.654018	0.002572	9.657708e-1	1.300000e1	3.582579e0	0.269574	1	1.5279	3
phi	CorruptionHeadroom	115457	0.683103	0.079406	7.656703e-1	4.000000e0	1.434511e0	0.533750	1	1.4578	3
phi	ConsumptionHeadroom	115457	0.806759	0.173649	2.988385e-1	3.000000e0	1.123532e0	0.265981	1	1.1962	2
phi	PopCost	115457	0.945963	0.000000	5.647990e-2	3.000000e0	9.471613e-1	0.059631	1	1.0548	1
phi	YellowBank	115457	0.805269	0.000745	2.098573e-1	1.100000e1	3.330454e0	0.063012	1	1.1993	2
phi	FreeWorkers	115457	0.373342	0.273409	7.249842e-1	2.000000e0	6.961834e-1	1.041370	2	1.7251	2
phi	FreeWorkerWall	115457	0.528465	0.303230	3.185359e0	3.700000e1	4.374610e0	0.728147	1	1.8978	4
phi	Workers	115457	0.411253	0.059875	3.177042e-1	3.092105e0	2.287804e0	0.138869	2	1.6887	2
phi	ProdWorkers	115457	0.480265	0.000000	6.095516e-1	2.000000e0	1.020051e0	0.597569	2	1.6096	2
phi	UrbanWorkers	115457	0.479217	0.000459	5.815758e-1	2.000000e0	1.634235e0	0.355870	2	1.5816	2
phi	UnitWorkers	115457	0.468235	0.170306	6.182561e-1	8.000000e0	1.561616e0	0.395908	2	1.6153	2
phi	HappyMargin	115457	0.648640	0.092476	5.169327e-1	8.000000e0	1.307129e0	0.395472	1	1.4444	2
phi	Discontent	115457	0.907697	0.885343	1.102488e-1	5.000000e0	2.972181e-1	0.370936	1	1.1002	1
phi	Uprising	115457	0.974103	0.964168	3.821683e-1	4.800000e1	2.809849e0	0.136010	1	1.0456	1
phi	CivilActions	115457	0.988940	0.000000	1.970431e-2	3.000000e0	1.029389e0	0.019142	1	1.0115	1
phi	MilitaryActions	115457	0.943252	0.000000	6.978356e-2	5.000000e0	1.099564e0	0.063465	1	1.0575	1
phi	CaLeft	115457	0.479555	0.176161	1.269693e0	1.000000e1	1.938481e0	0.654994	2	2.2450	4
phi	MaLeft	115457	0.396780	0.031761	9.314550e-1	3.000000e0	8.171875e-1	1.139830	2	1.8974	3
phi	TakeCostPaid	115457	0.492608	0.222957	1.244671e0	7.000000e0	1.258327e0	0.989148	2	2.2180	4
phi	RowUrgency	115457	0.408871	0.040543	1.716446e0	9.487828e1	8.048330e0	0.213267	2	3.5964	8
phi	RowBargainForgone	115457	0.492365	0.053448	9.674065e-1	9.000000e0	2.314251e0	0.418021	2	2.3718	5
phi	RowLastCopy	115457	0.473284	0.024234	1.042353e0	1.300000e1	2.351663e0	0.443241	2	1.8726	3
phi	RivalDesire	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	RivalTakeShare	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	RivalFreeCa	115457	0.999913	0.000000	1.212573e-4	2.000000e0	9.658979e-1	0.000126	1	1.0001	1
phi	RivalHandCivil	115457	1.000000	0.182570	0.000000e0	0.000000e0	1.282679e0	0.000000	1	1.0000	1
phi	RivalWonders	115457	1.000000	0.313121	0.000000e0	0.000000e0	9.042930e-1	0.000000	1	1.0000	1
phi	RivalWonderDeficit	115457	0.994136	0.765644	5.863655e-3	1.000000e0	5.524238e-1	0.010614	1	1.0059	1
phi	RivalScienceDeficit	115457	0.672900	0.490555	3.901539e-1	8.000000e0	1.216003e0	0.320850	1	1.3542	2
phi	RivalCultureDeficit	115457	0.706939	0.527807	3.804273e-1	9.000000e0	2.036884e0	0.186769	1	1.3509	2
phi	RivalHandPotential	115457	0.979109	0.225331	2.534722e-3	7.742748e0	8.456438e0	0.000300	1	1.0261	1
phi	RivalScienceStock	115457	0.991495	0.037867	2.208614e-2	9.000000e0	4.130399e0	0.005347	1	1.0085	1
phi	RivalFoodStock	115457	0.980651	0.164936	4.670137e-2	1.000000e1	2.330958e0	0.020035	1	1.0234	1
phi	RivalResourceStock	115457	0.976935	0.029466	6.646630e-2	1.700000e1	4.337718e0	0.015323	1	1.0271	1
phi	RivalFreeWorkers	115457	0.989234	0.689651	1.089583e-2	2.000000e0	7.414461e-1	0.014695	1	1.0108	1
phi	RivalYellowBank	115457	0.988844	0.000606	1.804135e-2	8.000000e0	3.360642e0	0.005368	1	1.0112	1
phi	RivalColonies	115457	0.995453	0.520609	4.547147e-3	1.000000e0	8.007226e-1	0.005679	1	1.0045	1
phi	RivalMilActions	115457	0.999524	0.005387	6.495925e-4	2.000000e0	1.131667e0	0.000574	1	1.0005	1
phi	RivalBuildingWonder	115457	0.999593	0.661441	4.070780e-4	1.000000e0	4.732196e-1	0.000860	1	1.0004	1
phi	MySeededPending	115457	0.913717	0.082827	1.375144e-1	3.000000e0	2.423210e0	0.056749	1	1.0917	1
phi	MyEventThreat	115457	0.906693	0.613146	4.022935e-1	3.475941e1	2.606434e0	0.154346	1	1.1090	1
phi	AttackTargetLead	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	AttackTargetWeakness	115457	0.931550	0.920793	2.503270e-1	2.200000e1	1.270388e0	0.197048	1	1.0858	1
phi	PactPartnerLead	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	Strength	115457	0.431087	0.019739	1.164641e0	1.300000e1	3.516235e0	0.331218	2	1.9529	3
phi	StrengthRel	115457	0.430966	0.043748	1.120226e0	1.300000e1	4.810043e0	0.232893	2	1.9536	3
phi	StrengthDeficit	115457	0.669210	0.440051	5.319729e-1	8.000000e0	2.857901e0	0.186141	1	1.4663	3
phi	StrengthLead	115457	0.731242	0.540539	4.931273e-1	6.000000e0	2.147113e0	0.229670	1	1.4090	3
phi	TacticLevel	115457	0.672042	0.088838	4.631854e-1	2.000000e0	3.183987e-1	1.454734	1	1.4103	2
phi	TacticGain	115457	0.758386	0.746668	3.959050e-1	6.000000e0	2.221408e-1	1.782225	1	1.2860	2
phi	TacticShort	115457	0.574119	0.075994	4.732411e-1	3.000000e0	8.158594e-1	0.580052	1	1.4457	2
phi	HasUnit	115457	0.795318	0.170306	2.046823e-1	1.000000e0	3.896160e-1	0.525344	1	1.2047	2
phi	Colonies	115457	0.990533	0.504413	9.466728e-3	1.000000e0	8.048822e-1	0.011762	1	1.0095	1
phi	HasColony	115457	0.993495	0.504413	6.504586e-3	1.000000e0	4.999572e-1	0.013010	1	1.0065	1
phi	Pacts	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	PactBlocksAttack	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	WarImmune	115457	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	AttackCostDoubled	115457	0.989563	0.914228	1.043679e-2	1.000000e0	2.732335e-1	0.038197	1	1.0104	1
phi	AuctionCommitted	115457	0.980027	0.978858	1.429537e-2	1.000000e0	7.605070e-2	0.187972	1	1.0200	1
phi	AuctionBid	115457	0.980027	0.978858	9.474090e-2	1.900000e1	7.051412e-1	0.134357	1	1.0739	1
phi	TechLevels	115457	0.934460	0.198204	3.710341e-2	1.078947e0	7.745936e-1	0.047900	1	1.0662	1
phi	GovLevel	115457	0.990135	0.526672	1.774687e-2	3.000000e0	8.527383e-1	0.020812	1	1.0099	1
phi	BestFarm	115457	0.992699	0.636774	1.079190e-2	3.000000e0	7.152021e-1	0.015089	1	1.0073	1
phi	BestMine	115457	0.995332	0.774106	7.959673e-3	3.000000e0	6.477431e-1	0.012288	1	1.0047	1
phi	BestLab	115457	0.992655	0.683085	1.300917e-2	3.000000e0	7.743769e-1	0.016800	1	1.0074	1
