# featdisc games=200 players=2 seed=5001 weights=/tmp/fs_champ_2p_frozen.json decisions=58114 forced=2517 mean_candidates=11.899 max_candidates=43 successor_states=691487 elapsed_s=74.3
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
phi	RateHorizon	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	Culture	58114	0.872079	0.044895	3.654455e-1	2.700000e1	4.944137e1	0.007391	1	1.1376	2
phi	CultureRate	58114	0.498933	0.056510	7.595307e-1	1.309733e1	4.615433e0	0.164563	2	1.6544	3
phi	Science	58114	0.889373	0.068675	4.854596e-1	1.800000e1	3.743960e0	0.129665	1	1.1249	2
phi	ScienceRate	58114	0.533262	0.095485	6.919165e-1	1.038457e1	1.484047e0	0.466236	1	1.5832	3
phi	FoodRate	58114	0.470936	0.127026	8.654585e-1	1.038274e1	1.180270e0	0.733272	2	1.7367	3
phi	ResourceRate	58114	0.460337	0.031645	9.747657e-1	1.453583e1	1.671734e0	0.583087	2	1.8036	3
phi	FoodStock	58114	0.802423	0.205217	5.684517e-1	1.100000e1	1.904332e0	0.298505	1	1.2258	2
phi	FamineDeficit	58114	0.916629	0.891541	9.680972e-2	3.000000e0	2.642430e-1	0.366366	1	1.0878	1
phi	ResourceStock	58114	0.745036	0.217985	7.894483e-1	1.300000e1	4.322796e0	0.182624	1	1.4080	2
phi	BlueFree	58114	0.660099	0.002099	9.352824e-1	1.100000e1	3.519264e0	0.265761	1	1.5162	3
phi	CorruptionHeadroom	58114	0.689111	0.080824	7.474275e-1	4.000000e0	1.441562e0	0.518485	1	1.4486	3
phi	ConsumptionHeadroom	58114	0.813745	0.169305	2.867639e-1	3.000000e0	1.128524e0	0.254105	1	1.1893	2
phi	PopCost	58114	0.947328	0.000000	5.487490e-2	3.000000e0	9.324101e-1	0.058853	1	1.0537	1
phi	YellowBank	58114	0.812231	0.000757	2.030922e-1	1.000000e1	3.316698e0	0.061233	1	1.1926	2
phi	FreeWorkers	58114	0.375572	0.278917	7.195856e-1	2.000000e0	6.829493e-1	1.053644	2	1.7197	2
phi	FreeWorkerWall	58114	0.524331	0.292305	3.255549e0	3.200000e1	4.451726e0	0.731301	1	1.9124	4
phi	Workers	58114	0.413825	0.061586	3.150430e-1	3.394737e0	2.303121e0	0.136790	2	1.6838	2
phi	ProdWorkers	58114	0.483653	0.000000	6.028668e-1	2.000000e0	9.786408e-1	0.616025	2	1.6029	2
phi	UrbanWorkers	58114	0.482534	0.000843	5.756444e-1	2.000000e0	1.568469e0	0.367010	2	1.5756	2
phi	UnitWorkers	58114	0.463159	0.157122	6.238256e-1	8.000000e0	1.565696e0	0.398434	2	1.6204	2
