iter	promoted	cand_vs_best_win	ci	cand_cul	best_cul	vs_champ	vs_book	vs_default	ts
1	0	0.4667	0.0565	84.3	87.8	-	-	-	1785185144
2	0	0.4550	0.0563	82.5	86.8	-	-	-	1785185851
3	0	0.4400	0.0557	80.7	92.0	0.0950	0.1500	0.4275	1785186941
4	0	0.4200	0.0559	79.8	89.8	-	-	-	1785187626
5	0	0.4300	0.0561	80.8	92.4	-	-	-	1785188324
6	0	0.4600	0.0565	82.9	89.2	0.0950	0.1500	0.4275	1785189411
7	0	0.4483	0.0563	81.5	88.9	-	-	-	1785190134
8	0	0	1	0	0	-	-	-	1785190604
9	0	0.4800	0.0564	80.9	85.6	0.0950	0.1500	0.4275	1785195846
10	0	0.4800	0.0564	80.9	85.6	-	-	-	1785198073
11	0	0.4367	0.0560	80.0	88.5	-	-	-	1785199214
12	0	0.4367	0.0558	78.5	89.4	0.0950	0.1500	0.4275	1785200827
13	0	0.4367	0.0558	78.5	89.4	-	-	-	1785216301
14	0	0.4750	0.0563	80.2	83.4	-	-	-	1785217376
15	0	0.4733	0.0566	80.8	88.9	0.0950	0.1500	0.4275	1785219057
16	0	0.4733	0.0564	83.0	89.6	-	-	-	1785220019
17	0	0.4083	0.0554	81.6	90.8	-	-	-	1785221117
18	0	0.4467	0.0562	82.3	92.0	0.0950	0.1500	0.4275	1785222701
19	0	0.4350	0.0561	81.8	88.3	-	-	-	1785223916
20	0	0.4633	0.0563	84.3	91.4	-	-	-	1785225065
21	0	0.4550	0.0563	77.1	84.7	0.0950	0.1500	0.4275	1785226731
22	0	0.4367	0.0560	79.0	86.6	-	-	-	1785227872
23	0	0.4583	0.0564	82.2	91.5	-	-	-	1785229085
24	0	0.4200	0.0556	76.7	88.7	0.0950	0.1500	0.4275	1785230763
25	0	0.4650	0.0564	84.1	86.0	-	-	-	1785231990
26	0	0.5183	0.0565	85.5	86.5	-	-	-	1785232968
27	0	0.4867	0.0565	82.6	86.7	0.0950	0.1500	0.4275	1785234627
28	0	0.3617	0.0542	76.5	92.8	-	-	-	1785235700
29	0	0.4733	0.0562	82.0	89.0	-	-	-	1785236874
30	0	0.3783	0.0549	79.1	88.8	0.0950	0.1500	0.4275	1785238357
31	0	0.4150	0.0558	77.2	90.4	-	-	-	1785239558
32	0	0.4567	0.0565	83.0	88.6	-	-	-	1785240775
33	0	0.4150	0.0558	75.4	90.3	0.0950	0.1500	0.4275	1785242504
34	0	0.4333	0.0562	79.3	88.9	-	-	-	1785243670
35	0	0.4067	0.0555	78.1	93.1	-	-	-	1785244696
36	0	0.4167	0.0555	75.4	89.1	0.0950	0.1500	0.4275	1785246516
37	0	0.4117	0.0557	78.9	91.2	-	-	-	1785247588
38	0	0.4200	0.0558	80.1	90.9	-	-	-	1785248727
39	0	0	1	0	0	0.0950	0.1500	0.4275	1785250058
40	0	0	1	0	0	-	-	-	1785260530
41	0	0.4800	0.0564	82.1	86.6	-	-	-	1785263424
42	0	0.5100	0.0567	83.5	83.8	0.0950	0.1500	0.4275	1785266663
43	0	0.4350	0.0559	82.3	89.7	-	-	-	1785267653
44	0	0.4383	0.0561	80.4	85.8	-	-	-	1785268735
45	0	0.4383	0.0560	78.8	87.9	0.0950	0.1500	0.4275	1785270383
46	0	0.4517	0.0561	79.1	87.8	-	-	-	1785271461
47	0	0.4150	0.0556	79.7	88.3	-	-	-	1785272558
48	0	0.4150	0.0556	79.7	88.3	0.0950	0.1500	0.4275	1785280426
49	0	0.4233	0.0560	80.0	88.2	-	-	-	1785281766
50	0	0.4367	0.0560	80.2	86.9	-	-	-	1785282914
51	0	0.4467	0.0562	78.8	88.3	0.0950	0.1500	0.4275	1785284547
52	0	0.4733	0.0566	82.3	87.4	-	-	-	1785285653
53	0	0.4700	0.0564	79.3	87.3	-	-	-	1785286774
54	0	0.4183	0.0558	79.6	89.0	0.0950	0.1500	0.4275	1785288479
55	0	0.3800	0.0546	68.1	86.3	-	-	-	1785289549
56	0	0	1	0	0	-	-	-	1785290729
57	0	0.4417	0.0562	78.3	85.1	0.0950	0.1500	0.4275	1785308844
58	0	0.4567	0.0561	80.0	85.4	-	-	-	1785309958
59	0	0.4133	0.0558	78.1	88.6	-	-	-	1785310990
60	0	0.4833	0.0565	81.2	86.6	0.0950	0.1500	0.4275	1785312699
61	0	0.3983	0.0554	74.6	88.3	-	-	-	1785313832
62	0	0.4583	0.0562	83.1	88.5	-	-	-	1785314926
63	0	0.4450	0.0562	79.5	86.1	0.0950	0.1500	0.4275	1785316608
64	0	0.4667	0.0565	83.3	91.7	-	-	-	1785317621
65	0	0.4167	0.0555	78.3	86.5	-	-	-	1785318669
66	0	0.4450	0.0560	81.0	88.0	0.0950	0.1500	0.4275	1785320437
67	0	0.4417	0.0558	83.1	88.8	-	-	-	1785321582
68	0	0.4300	0.0555	80.8	89.7	-	-	-	1785323043
69	0	0.4217	0.0559	79.4	90.3	0.0950	0.1500	0.4275	1785324777
70	0	0.4617	0.0564	78.9	86.3	-	-	-	1785325861
71	0	0.4667	0.0562	78.5	81.6	-	-	-	1785326971
72	0	0.3617	0.0542	73.8	90.2	0.0950	0.1500	0.4275	1785328631
73	0	0.4150	0.0558	78.6	90.3	-	-	-	1785329654
