players	archetype	n	champion_wins	champion_win_rate	wilson_lo	wilson_hi	null_pct	ratio_to_null	champion_mean_culture	champion_resigned	archetype_win_rate	archetype_resigned	archetype_seat_games	mean_moves	cap_hit_warning	seed_base
2	culture	120	80	66.7	57.8	74.5	50.0	1.33	187.7	0	33.3	0	120	266.5	False	1
2	military	120	105	87.5	80.4	92.3	50.0	1.75	151.3	0	12.5	0	120	249.7	False	1
2	science	120	108	90.0	83.3	94.2	50.0	1.8	191.5	0	10.0	0	120	268.2	False	1
2	wonder	120	102	85.0	77.5	90.3	50.0	1.7	197.5	0	15.0	0	120	264.8	False	1
2	infra	120	110	91.7	85.3	95.4	50.0	1.83	204.5	0	8.3	0	120	263.9	False	1
2	tempo	120	113	94.2	88.4	97.1	50.0	1.88	197.3	0	5.8	0	120	264.9	False	1
2	book	120	99	82.5	74.7	88.3	50.0	1.65	184.1	0	17.5	0	120	262.1	False	1
3	culture	120	98	81.7	73.8	87.6	33.3	2.45	217.0	0	9.2	0	240	391.9	False	1
3	military	120	116	96.7	91.7	98.7	33.3	2.9	155.7	0	1.7	0	240	363.1	False	1
3	science	120	110	91.7	85.3	95.4	33.3	2.75	203.6	0	4.2	0	240	391.2	False	1
3	wonder	120	109	90.8	84.3	94.8	33.3	2.72	208.1	0	4.6	0	240	390.7	False	1
3	infra	120	116	96.7	91.7	98.7	33.3	2.9	214.3	0	1.7	0	240	388.8	False	1
3	tempo	120	115	95.8	90.6	98.2	33.3	2.87	215.2	0	2.1	0	240	392.4	False	1
3	book	120	102	85.0	77.5	90.3	33.3	2.55	196.6	0	7.5	0	240	393.0	False	1
